packet_count,total_bytes,duration_seconds,avg_packet_size,min_packet_size,max_packet_size,packet_size_std,avg_inter_arrival_time,inter_arrival_time_std,packets_per_second,bytes_per_second,forward_packet_count,reverse_packet_count,forward_reverse_ratio,burst_count,avg_burst_size,esp_packet_count,ike_packet_count,ah_packet_count,tcp_packet_count,udp_packet_count,unique_endpoints_count,unique_spi_count,label,is_anomaly
1326,276015.051461973,26.81654298686023,208.15614740721946,176.21914424828972,237.07280246429127,6.499623737270044,0.018153710691204993,0.0028369955678634686,49.4470894570461,10292.715641878855,662,664,0.9969879518072289,4,331.5,1326,0,0,0,1326,1,2,VoIP,0
12111,15047215.656955343,87.88798355756501,1242.4420491252038,80.0,1420.0,227.2737450810651,0.007256872558629759,0.022838315689740367,137.8004080849974,171209.02139141347,1579,10532,0.14992404101785037,36,336.4166666666667,12111,0,0,12111,0,2,2,Video streaming,0
2400,2124257.292552758,28.756976025316366,885.1072052303158,60.0,1420.0,393.6843710297063,0.01198207334388182,0.20296322368059488,83.45801025417785,73869.2862101584,770,1630,0.4723926380368098,35,68.57142857142857,2400,0,0,2400,0,4,2,Web browsing,0
4747,6807053.0411821185,42.97256589643225,1433.9694630676465,70.0,1420.0,119.96737821583598,0.009052573392970772,0.005628109945722505,110.46582630045171,158404.62162738264,4316,431,10.013921113689095,7,678.1428571428571,4747,0,0,4747,0,1,2,File transfer,0
154,20690.76124312684,38.98910102683956,134.35559248783662,70.0,350.0,22.60206371941118,0.2531759806937634,2.8722138431333333,3.9498217692679938,530.6806440313565,91,63,1.4444444444444444,4,38.5,154,0,0,0,154,2,2,Messaging,0
18,1764.0,9.0,98.0,98.0,98.0,0.0,0.5029103400126218,0.005,2.0,196.0,9,9,1.0,18,1.0,0,0,0,0,0,1,0,ICMP/ping,0
52,4453.508935057187,428.9623001657474,85.6444025972536,78.0,120.0,8.0,8.249275003187451,0.2,0.12122277407573495,10.38205206689816,26,26,1.0,26,2.0,0,52,0,0,52,1,1,Tunnel keep-alive,0
1651,350570.32474823546,33.01517691011127,212.33817368154783,186.10395215975961,242.73953410510404,13.200654190149194,0.016337469050086935,0.0017394178221021082,50.007304352634335,10618.459676975692,821,830,0.9891566265060241,2,825.5,1651,0,0,0,1651,1,2,VoIP,0
5297,7093092.597938854,108.43100854704137,1339.0773263996327,80.0,1420.0,213.27387530778793,0.020470267801971188,0.023718800369340168,48.85133939985411,65415.72095459768,553,4744,0.11656829679595278,54,98.0925925925926,5297,0,0,5297,0,2,2,Video streaming,0
2867,2409897.5434605973,46.102606057555946,840.5641937427964,60.0,1420.0,430.95381985836195,0.016080434620703157,0.19668779141596204,62.18737388556185,52272.479791099126,1275,1592,0.8008793969849246,35,81.91428571428571,2867,0,0,2867,0,4,2,Web browsing,0
10571,14426216.23970507,34.83992638202891,1364.6974022992215,70.0,1420.0,101.5636406741194,0.0032958023254213327,0.004810613326357327,303.41625536421117,414071.3755108962,9402,1169,8.042771599657828,12,880.9166666666666,10571,0,0,10571,0,1,2,File transfer,0
82,10427.68291893581,148.6284428373218,127.16686486507085,70.0,350.0,48.274293753904686,1.8125419858209977,2.3225179201024684,0.5517113577631396,70.15940367718994,45,37,1.2162162162162162,7,11.714285714285714,82,0,0,0,82,2,2,Messaging,0
50,4900.0,25.0,98.0,98.0,98.0,0.0,0.5033126343140356,0.005,2.0,196.0,25,25,1.0,50,1.0,0,0,0,0,0,1,0,ICMP/ping,0
39,3968.46259957772,111.5214629048221,101.75545127122359,78.0,120.0,8.0,2.8595246898672335,0.2,0.34970846852398735,35.58474302802682,19,20,1.0,19,2.0,0,39,0,0,39,1,1,Tunnel keep-alive,0
702,152822.4131096984,13.850982321715662,217.69574517051052,184.94459574340624,255.44000002203705,12.08322387742924,0.017305376181632966,0.001478376983753207,50.68232589535543,11033.326702764063,348,354,0.9830508474576272,1,702.0,702,0,0,0,702,1,2,VoIP,0
2028,2590027.5834148014,71.74049173264459,1277.1339168712038,80.0,1420.0,278.4099244072991,0.03537499592339476,0.039927871285098476,28.268554494409532,36102.72972573232,207,1821,0.11367380560131796,27,75.11111111111111,2028,0,0,2028,0,2,2,Video streaming,0
963,970470.2208658666,40.00257261950792,1007.7572386976808,60.0,1420.0,397.153397161449,0.04153953543043398,0.17714267279117568,24.073451704213067,24260.19521535974,419,544,0.7702205882352942,30,32.1,963,0,0,963,0,4,2,Web browsing,0
8374,11441582.522664508,46.93446307320668,1366.3222501390624,70.0,1420.0,107.6979909828793,0.005604784221782503,0.0036077630762239125,178.41900070186244,243777.85050653166,7252,1122,6.463458110516934,6,1395.6666666666667,8374,0,0,8374,0,1,2,File transfer,0
189,29974.035815819047,147.38046452595088,158.59278209428066,70.0,350.0,45.33615026041694,0.7797908175976237,2.6786514754692945,1.2823951980876047,203.37862220905942,105,84,1.25,14,13.5,189,0,0,0,189,2,2,Messaging,0
93,9114.0,46.0,98.0,98.0,98.0,0.0,0.4965591945868868,0.005,2.0217391304347827,198.1304347826087,46,46,1.0,93,1.0,0,0,0,0,0,1,0,ICMP/ping,0
33,3283.759342244509,252.40083256156646,99.50785885589421,78.0,120.0,8.0,7.648510077623226,0.2,0.1307444181744152,13.010097109895717,16,17,1.0,16,2.0,0,33,0,0,33,1,1,Tunnel keep-alive,0
389,75512.04892647386,7.390051924527677,194.11837770301764,157.75808238456779,231.33298936814452,5.104281957967861,0.015609455155603646,0.003042989210310263,52.6383310933045,10218.067436826579,197,192,1.0260416666666667,5,77.8,389,0,0,0,389,1,2,VoIP,0
14545,18429927.945905432,47.137668854399074,1267.0971430667194,80.0,1420.0,277.81859326150493,0.003240816009240225,0.05921132712266246,308.5642619478541,390980.89476661675,1983,12562,0.157857029135488,26,559.4230769230769,14545,0,0,14545,0,2,2,Video streaming,0
1736,1507691.8744916047,20.66622719076072,868.4861028177446,60.0,1420.0,355.5330421031799,0.011904508750438202,0.2023910834949742,84.00178629489355,72954.38400898113,651,1085,0.6,29,59.86206896551724,1736,0,0,1736,0,4,2,Web browsing,0
2854,3950590.0541954404,35.07818178129503,1384.2291710565664,70.0,1420.0,114.4894872091223,0.01229088359540821,0.005405074842498068,81.36111551602305,112622.42948698212,2707,147,18.41496598639456,11,259.45454545454544,2854,0,0,2854,0,1,2,File transfer,0
222,32753.58774995155,72.84125753043875,147.53868355834032,70.0,350.0,29.686397531097036,0.32811377265963404,2.5078493909497395,3.0477233305209084,449.65708803509534,109,113,0.9646017699115044,4,55.5,222,0,0,0,222,2,2,Messaging,0
148,12432.0,74.0,84.0,84.0,84.0,0.0,0.49009463674869314,0.005,2.0,168.0,74,74,1.0,148,1.0,0,0,0,0,0,1,0,ICMP/ping,0
34,2935.4587719350575,523.5137545994087,86.33702270397228,78.0,120.0,8.0,15.397463370570843,0.2,0.06494576255406452,5.607223776157062,17,17,1.0,17,2.0,0,34,0,0,34,1,1,Tunnel keep-alive,0
963,192732.09007421628,19.437564361842284,200.13716518610207,175.6072496821433,233.04062099429106,7.6154964350748715,0.018903382109502372,0.003763750952409864,49.54324431153818,9915.444470633727,482,481,1.002079002079002,2,481.5,963,0,0,0,963,1,2,VoIP,0
12111,14743201.550121266,25.127303856059257,1217.339736613101,80.0,1420.0,338.7040427417844,0.0020747505454594382,0.07141375473666868,481.9856547036392,586740.2899482213,1523,10588,0.1438420853796751,30,403.7,12111,0,0,12111,0,2,2,Video streaming,0
2493,1947912.07681191,59.01925888311896,781.3526180553189,60.0,1420.0,427.49538369065215,0.02367399072728398,0.11520729370760226,42.24044908691767,33004.685481895525,1120,1373,0.8157319737800437,37,67.37837837837837,2493,0,0,2493,0,4,2,Web browsing,0
22932,30884789.085651457,91.03762514469975,1346.7987565694862,70.0,1420.0,134.92095746126608,0.003969894694954637,0.0075336011098321555,251.89585035363933,339253.0180412948,21549,1383,15.581344902386117,12,1911.0,22932,0,0,22932,0,1,2,File transfer,0
73,12393.077242407393,142.57884279579605,169.768181402841,70.0,350.0,45.68126584617151,1.953134832819124,0.710349912487622,0.5119974223984403,86.92087128352541,31,42,0.7380952380952381,8,9.125,73,0,0,0,73,2,2,Messaging,0
113,11074.0,56.0,98.0,98.0,98.0,0.0,0.4815019706283577,0.005,2.017857142857143,197.75,56,56,1.0,113,1.0,0,0,0,0,0,1,0,ICMP/ping,0
